fit_id,replicate_id,binding_model,is_selected,rmse_sigma_ratio,rmse_max_signal_ratio,mae,rel_mae,sensorgram_filepath
1,1,bivalent_analyte,False,22.5522201914143,0.0553609764605034,0.0584981192471708,0.0410287511148934,data/sensorgrams/rep1/sg_rep1_f1.png
2,1,conformational,False,23.8920190388936,0.0586499019777058,0.0638957835178843,0.0448145040043005,data/sensorgrams/rep1/sg_rep1_f2.png
3,1,standard,True,23.9428188433884,0.0587746048564896,0.0640945947678125,0.0449539439965108,data/sensorgrams/rep1/sg_rep1_f3.png
4,2,bivalent_analyte,False,9.78777084672758,0.0144974802039856,0.0226167333619573,0.00957129198198589,data/sensorgrams/rep2/sg_rep2_f4.png
5,2,conformational,False,11.7461122576321,0.0173981422936303,0.0264421294353456,0.0111901810664161,data/sensorgrams/rep2/sg_rep2_f5.png
6,2,standard,True,11.7629518171111,0.0174230847635772,0.0264718266260348,0.0112027487736346,data/sensorgrams/rep2/sg_rep2_f6.png
7,3,bivalent_analyte,False,27.0845482693809,0.0254923517695131,0.0576586835920638,0.0155054717659559,data/sensorgrams/rep3/sg_rep3_f7.png
8,3,conformational,False,31.4351075799507,0.0295871584185335,0.0759228441696181,0.0204170377005471,data/sensorgrams/rep3/sg_rep3_f8.png
9,3,standard,True,31.4620698387873,0.029612535669796,0.0759019416708511,0.0204114166373476,data/sensorgrams/rep3/sg_rep3_f9.png
10,4,bivalent_analyte,False,14.6826094193031,0.0139399090902783,0.0298581891607546,0.00809938635788987,data/sensorgrams/rep4/sg_rep4_f10.png
11,4,conformational,False,15.8128633182114,0.0150129905943739,0.0335403082137737,0.00909820462732963,data/sensorgrams/rep4/sg_rep4_f11.png
12,4,standard,True,15.8154192970899,0.0150154172824499,0.0335462010804214,0.00909980313698733,data/sensorgrams/rep4/sg_rep4_f12.png
13,7,bivalent_analyte,False,27.4780617376162,0.0286468597178519,0.0697943299458053,0.020789451164463,data/sensorgrams/rep7/sg_rep7_f13.png
14,7,conformational,False,41.2265543653812,0.0429801537980649,0.117669538889932,0.0350499121375138,data/sensorgrams/rep7/sg_rep7_f14.png
15,7,standard,True,41.2154019515479,0.0429685270087503,0.118083294434231,0.0351731563994605,data/sensorgrams/rep7/sg_rep7_f15.png
16,8,bivalent_analyte,False,14.9529346028486,0.0169307790382263,0.0353874413253601,0.0114480528542391,data/sensorgrams/rep8/sg_rep8_f16.png
17,8,conformational,False,24.3254264886107,0.0275429828209658,0.0661209335226536,0.0213905248130076,data/sensorgrams/rep8/sg_rep8_f17.png
18,8,standard,True,24.3263192757089,0.0275439936981942,0.0661222700713065,0.0213909571946393,data/sensorgrams/rep8/sg_rep8_f18.png
19,9,bivalent_analyte,False,29.0950268500344,0.029590346395612,0.0771785819108255,0.0224264244277368,data/sensorgrams/rep9/sg_rep9_f19.png
20,9,conformational,True,44.8953280888797,0.0456596351170933,0.121077815881745,0.0351825910831684,data/sensorgrams/rep9/sg_rep9_f20.png
21,9,standard,False,45.9020874004729,0.0466835337001947,0.127144289205752,0.0369453768480185,data/sensorgrams/rep9/sg_rep9_f21.png
22,10,bivalent_analyte,False,18.2481213196985,0.0205800775561465,0.0445332866418276,0.0143497901879838,data/sensorgrams/rep10/sg_rep10_f22.png
23,10,conformational,True,29.1511937746336,0.0328764708555833,0.0802297367636894,0.0258521204297278,data/sensorgrams/rep10/sg_rep10_f23.png
24,10,standard,False,29.1300443709756,0.0328526187362379,0.0802937670264065,0.0258727526557537,data/sensorgrams/rep10/sg_rep10_f24.png
25,11,bivalent_analyte,False,28.2928720211782,0.0292480906787237,0.0660796949348527,0.0195173329273311,data/sensorgrams/rep11/sg_rep11_f25.png
26,11,conformational,True,35.3525442149409,0.0365461102057154,0.0934233041257029,0.0275935555027954,data/sensorgrams/rep11/sg_rep11_f26.png
27,11,standard,False,35.3539094634042,0.0365475215474421,0.0936092929568553,0.0276484892603127,data/sensorgrams/rep11/sg_rep11_f27.png
28,12,bivalent_analyte,False,19.6922275659443,0.0193313444362091,0.04177713922804,0.0117175783516216,data/sensorgrams/rep12/sg_rep12_f28.png
29,12,conformational,True,23.022771059756,0.0226008518204318,0.0530088499861962,0.0148678287819602,data/sensorgrams/rep12/sg_rep12_f29.png
30,12,standard,False,23.0265055809196,0.0226045179021219,0.053035265529221,0.0148752377668934,data/sensorgrams/rep12/sg_rep12_f30.png
31,13,bivalent_analyte,True,3.71158606401465,0.0143767773848109,0.00967538193580119,0.0107078452488219,data/sensorgrams/rep13/sg_rep13_f31.png
32,13,conformational,False,7.66494210845451,0.0296900474514442,0.0220895792943606,0.0244467658501801,data/sensorgrams/rep13/sg_rep13_f32.png
33,13,standard,False,9.6758794598491,0.0374793855234085,0.0235628668416963,0.0260772684152017,data/sensorgrams/rep13/sg_rep13_f33.png
34,14,bivalent_analyte,True,6.59316433861459,0.0167470793650167,0.0178332715108162,0.0129422014330109,data/sensorgrams/rep14/sg_rep14_f34.png
35,14,conformational,False,4.8226244844121,0.0122497894546783,0.0111723535601211,0.00810815055264562,data/sensorgrams/rep14/sg_rep14_f35.png
36,14,standard,False,16.6385777212789,0.0422631027088592,0.0402114893272789,0.0291828223710587,data/sensorgrams/rep14/sg_rep14_f36.png
37,15,bivalent_analyte,True,2.96524977614029,0.0125304782590643,0.00755687620906571,0.00912390236359716,data/sensorgrams/rep15/sg_rep15_f37.png
38,15,conformational,False,3.17756864573372,0.0134276900220789,0.00800927176404005,0.00967010859473265,data/sensorgrams/rep15/sg_rep15_f38.png
39,15,standard,False,4.37855275963287,0.0185027786199384,0.0121230262904966,0.0146369088451017,data/sensorgrams/rep15/sg_rep15_f39.png
40,20,bivalent_analyte,True,30.5007988510657,0.0311684679650749,0.0712498638077516,0.0208027253735849,data/sensorgrams/rep20/sg_rep20_f40.png
41,20,conformational,False,40.9520198853929,0.0418484684986664,0.112103769323086,0.0327307843403648,data/sensorgrams/rep20/sg_rep20_f41.png
42,20,standard,False,40.9563085216385,0.0418528510140912,0.112114596458722,0.0327339455243612,data/sensorgrams/rep20/sg_rep20_f42.png
43,21,bivalent_analyte,True,21.4977725954169,0.0231167061930585,0.050491775011442,0.0155126174507473,data/sensorgrams/rep21/sg_rep21_f43.png
44,21,conformational,False,31.9845776218364,0.0343932414538003,0.0837680565715198,0.0257361088195468,data/sensorgrams/rep21/sg_rep21_f44.png
45,21,standard,False,31.9858523538806,0.0343946121821401,0.0837690519188662,0.0257364146206919,data/sensorgrams/rep21/sg_rep21_f45.png
